,idx,year,pmid,journal_name,title,abstract,accepted_label,multi_label,binary_label,doi,labels_gs
238,239,7305,7305695,Archives of neurology,Medial frontal cortex infarction and the alien hand sign.,"Two right-handed patients with infarction involving the left medial frontal cortex are described. Both patients exhibited a form of transcortical motor aphasia and a psychomotor disturbance involving the right arm characterized by forced grasping, motor perseveration, and the presence of apparently purposeful movements that appeared to be dissociated from conscious volition. The latter feature is noted to be identical to the alien hand sign as described in the left arm of commissurotomized patients and patients with callosal neoplasm or infarction. It is suggested that the observed dissociation of conscious intention from purposeful movement may be related to dysfunction of the medial frontal cortex contralateral to the impaired extremity as much as to hemispheric disconnection.",Remaining,0,0,doi_dummy,human
248,249,1604,16043811,Neurology,The prognosis of hearing impairment complicating HIV-negative cryptococcal meningitis.,"Eight patients who had sensorineural hearing loss (SNHL) associated with cryptococcal meningitis were studied. After a minimum 3-year follow-up, one had died. Among the seven survivors, three had improved, two stabilized, and two progressed. Predictive factors included visual disturbance, meningeal enhancements on MRI, and a CSF cryptococcal antigen titer of >1:1,024. SNHL accounted for 30.8% (8/26) of cryptococcal meningitis patients in our study.",Remaining,0,0,doi_dummy,human
252,253,2314,23149030,Psychiatry research,Predicting dementia development in Parkinson's disease using Bayesian network classifiers.,"Parkinson's disease (PD) has broadly been associated with mild cognitive impairment (PDMCI) and dementia (PDD). Researchers have studied surrogate, neuroanatomic biomarkers provided by magnetic resonance imaging (MRI) that may help in the early diagnosis of this condition. In this article, four classification models (naïve Bayes, multivariate filter-based naïve Bayes, filter selective naïve Bayes and support vector machines, SVM) have been applied to evaluate their capacity to discriminate between cognitively intact patients with Parkinson's disease (PDCI), PDMCI and PDD. For this purpose, the MRI studies of 45 subjects (16 PDCI, 15 PDMCI and 14 PDD) were acquired and post-processed with Freesurfer, obtaining 112 variables (volumes of subcortical structures and thickness of cortical parcels) per subject. A multivariate filter-based naïve Bayes model was found to be the best classifier, having the highest cross-validated sensitivity, specificity and accuracy. Additionally, the most relevant variables related to dementia in PD, as predicted by our classifiers, were cerebral white matter, and volumes of the lateral ventricles and hippocampi.",Remaining,0,0,doi_dummy,human
256,257,3067,30677716,Psychiatry research,Post-traumatic stress disorder and depression symptoms of adolescents survived from a seriously-hit area in China: A 3-year follow-up study.,"The objective of this study is to analyze the prevalence of probable PTSD and depression after earthquake and to find the risk factors. Adolescents having experienced an earthquake were recruited (n = 330) and assessed within 1 month of the trauma. Follow-up surveys were conducted 12 months, 24 months and 36 months later, respectively. Symptoms were assessed by the Children's Revised Impact of Event Scale and the Depression Self-Rating Scale for Children. Results indicate that the prevalence of probable PTSD in different stages was 42.2%, 20.1%, 30.3% and 11.2%. The corresponding rate of depression was 32.3%, 20.7%, 31.0% and 30.3%. The sub-symptoms of PTSD, intrusion and arousal, tended to decrease at the 1st year, followed by a rebound at the 2nd year, then dropping again at the 3rd year. The avoidance showed a consistent diminishing. The PTSD symptoms were significantly associated with gender and the degree of earthquake exposure. However, the gender, family relationship and despair played crucial roles in the development of depressive symptoms. Despite of the tendency of timing abatement, the prevalence of probable PTSD and depression might show rebound at the second year, which remind us a vital threshold for psychological intervention.",Remaining,0,0,doi_dummy,human
258,259,3059,30597295,Journal of affective disorders,"The relationship between attention deficit hyperactivity disorder, bipolarity and mixed features in major depressive patients: Evidence from the BRIDGE-II-Mix Study.","This study primarily focused on the relationship between comorbid attention deficit-hyperactivity disorder (ADHD), mixed features and bipolarity in major depressive patients.	The sample comprised 2777 patients with Major Depressive Episode (MDE) enrolled in a multicentre, multinational study originally designed to assess different definitions of mixed depression. Socio-demographic, familial and clinical characteristics were compared in patients with (ADHD + ) and without (ADHD-) comorbid ADHD.	Sixty-one patients (2.2%) met criteria for ADHD. ADHD was associated with a higher number of (hypo)manic symptoms during depression. Mixed depression was more represented in ADHD + patients than in ADHD- using both DSM-5 and experimental criteria. Differences were maintained after removing overlapping symptoms between (hypo)mania and ADHD. ADHD in MDE was also associated with a variety of clinical and course features such as onset before the age of 20, first-degree family history of (hypo)mania, past history of antidepressant-induced (hypo)manic switches, higher number of depressive and affective episodes, atypical depressive features, higher rates of bipolarity specifier, psychiatric comorbidities with eating, anxiety and borderline personality disorders.	The study was primarily designed to address mixed features in ADHD, with slightly reduced sensitivity to the diagnosis of ADHD. Other possible diagnostic biases due to heterogeneity of participating clinicians.	In a sample of major depressive patients, the comorbid diagnosis of current ADHD is associated with bipolar diathesis, mixed features, multiple psychiatric comorbidity and a more unstable course. Further prospective studies are necessary to confirm the possible mediating role of temperamental mood instability and emotional dysregulation in such a complex clinical presentation.",Remaining,0,0,doi_dummy,human
261,262,1910,1910699,Archives of otolaryngology--head & neck surgery,Irradiation. A significant risk factor for carotid atherosclerosis.,"Radiation exacerbates the development of atherosclerosis in the large arteries of animals and is postulated to do likewise in human beings. To study this relationship, we used high-resolution B-mode ultrasonography to measure carotid artery wall thickness in 29 previously irradiated head and neck cancer patients and compared the results with those of nine epidemiologically similar but nonirradiated head and neck cancer patients. Maximal intima-media thickness was greater in the study group (mean, 1.28 +/- SE 0.06 mm) than in the control group (mean, 0.90 +/- SE 0.05 mm). Even after the effects of age, hypertension, and tobacco consumption were controlled, these differences remained statistically significant. This study suggests that irradiation may contribute to the development of more severe and extensive carotid atherosclerosis in head and neck cancer patients who receive radiation therapy.",Remaining,0,0,doi_dummy,human
263,264,3292,32929643,European radiology,Uncontrolled hypertension associates with subclinical cerebrovascular health globally: a multimodal imaging study.,"The study aimed to analyze the association between hypertension control and subclinical cerebrovascular health using a comprehensive multimodal imaging approach.	The study included 200 hypertensive older males without previous cardiovascular diseases. Clinic blood pressure (BP) was measured using a standard approach. Cerebrovascular health was evaluated using magnetic resonance imaging in the following four aspects: Intracranial atherosclerosis as determined by vessel wall imaging; Vascular rarefaction (defined as less discernible vessels on angiography) was evaluated using a custom-developed technique. Cerebral blood flow (CBF) and white matter hyperintensity (WMH) were assessed using arterial spin-labeling imaging and fluid-attenuated inversion recovery imaging, respectively.	A total of 189 subjects had MRI scans. The mean age was 64.9 (± 7.2) years. For intracranial atherosclerosis, there was a significant association between uncontrolled hypertension and presence of intracranial plaque. When systolic and diastolic BP were analyzed separately, the association remained significant for both. For vascular rarefaction, uncontrolled hypertension was associated with less discernible vessel branches or shorter vessel length on angiography. Further analysis revealed that this is due to uncontrolled diastolic BP, but not uncontrolled systolic BP. There was an association between uncontrolled hypertension and reduced CBF, which was also mainly driven by uncontrolled diastolic BP. We also found that uncontrolled diastolic BP, but not uncontrolled systolic BP, was associated with increased WMH volume.	Uncontrolled hypertension was associated with subclinical cerebrovascular injury globally, with both small and medium-to-large arteries being affected.	• In this study, we leveraged the advantage of a series of cutting-edge MR imaging and analysis techniques and found uncontrolled hypertension is associated with subclinical globally compromised cerebrovascular health. • The detrimental consequences of uncontrolled BP affect not only the small vessels but also the medium-to-large arteries, and uncontrolled systolic and diastolic BP are both independently associated with certain types of cerebrovascular injury. • Our data suggest that cerebrovascular health is impaired globally in uncontrolled hypertension before the onset of stroke.",Remaining,0,0,doi_dummy,human
817,284,2161,21613789,Dementia and geriatric cognitive disorders,Utility and limitations of Addenbrooke's Cognitive Examination-Revised for detecting mild cognitive impairment in Parkinson's disease.,"To evaluate the utility of the Addenbrooke's Cognitive Examination-Revised (ACE-R) as a screening tool for mild cognitive impairment in Parkinson's disease (PD-MCI).	PD patients underwent comprehensive neuropsychological and neurological evaluations and ACE-R assessment.	The ACE-R was superior to the Mini-Mental State Exam (MMSE) in detecting PD-MCI, with a cutoff score of ≤93 offering a sensitivity of 61% and a specificity of 64%. The utility of the ACE-R in detecting PD-MCI is largely influenced by the fluency sub-domain score, and has optimal discriminability when utilized in patients with lower levels of education (≤12 years of formal schooling).	The ACE-R must be used cautiously as a screening tool for PD-MCI, with results being most influenced by its fluency sub-domain score and patient education levels.",Remaining,0,0,doi_dummy,human
819,286,1505,15051899,Biological trace element research,Blood lead levels in glue sniffers.,The aim of this study was to investigate blood levels of lead (Pb) among adolescents with glue sniffing in Turkey. Blood Pb levels were measured in 30 adolescent glue sniffers by atomic absorption spectrophotometry and compared with those of the 30 healthy adolescents. The Pb contents of various glue preparations marketed in Turkey and used by the abusers were also measured. Blood Pb levels were significantly higher in the study group when compared to the control group. Pb was detected at considerably high levels in the contents of all the various glue preparations most commonly used by the cases in the study group. The increased blood Pb levels in glue sniffers may be related to the high lead contents of glues marketed in Turkey. The blood Pb levels and signs of Pb toxicity should be investigated in examination of glue sniffers.,Remaining,0,0,doi_dummy,human
820,287,3664,36647082,The Kobe journal of medical sciences,Longitudinal Changes and Features of Sleep Patterns of Mothers with Preterm Infants during the Early Postpartum Period.,"This study comprised 13 mothers of preterm infants and 21 mothers of term infants. Sleep assessment was conducted using an actigraph for three consecutive days. The participants were asked to record their sleep behaviors and activities over these 3 days, and complete two questionnaires (Edinburgh Postnatal Depression Scale [EPDS] and Pittsburgh Sleep Quality Index [PSQI]). As compared to the mothers of term infants, the sleep efficiency in the preterm mothers was significantly lower than that in the term mothers. The total sleep time was shorter and nighttime awakenings were more frequent in the preterm mothers at 2 weeks after childbirth, but without a significant difference. We analyzed the changes in the sleep data of the mothers of preterm infants longitudinally, including sleep behaviors and the EPDS and PSQI scores. The total sleep time at 1 month postpartum was shorter than that at other periods, and significantly shorter than that at 2 weeks and 6 months postpartum. Our results suggested that sleep problems tended to last longer in mothers of preterm infants than in mothers of term infants, as the problems occurred twice, immediately after childbirth and immediately after discharge.",Remaining,0,0,doi_dummy,human
821,288,2870,28700589,PloS one,ANK1 is up-regulated in laser captured microglia in Alzheimer's brain; the importance of addressing cellular heterogeneity.,"Recent epigenetic association studies have identified a new gene, ANK1, in the pathogenesis of Alzheimer's disease (AD). Although strong associations were observed, brain homogenates were used to generate the data, introducing complications because of the range of cell types analyzed. In order to address the issue of cellular heterogeneity in homogenate samples we isolated microglial, astrocytes and neurons by laser capture microdissection from CA1 of hippocampus in the same individuals with a clinical and pathological diagnosis of AD and matched control cases. Using this unique RNAseq data set, we show that in the hippocampus, ANK1 is significantly (p<0.0001) up-regulated 4-fold in AD microglia, but not in neurons or astrocytes from the same individuals. These data provide evidence that microglia are the source of ANK1 differential expression previously identified in homogenate samples in AD.",Remaining,0,0,doi_dummy,human
823,290,2792,27929658,Applied neuropsychology. Adult,Executive Function Index (EFI) performance in nonclinical individuals with high levels of autistic traits.,"This study examined the ability of the Executive Function Index (EFI) to detect differences in executive functioning amongst participants with varying levels of subclinical autistic symptoms as quantified by the Autism Spectrum Quotient (ASQ). Participants were a nonclinical college subject sample classified as displaying either Low (0-15 ASQ score, n = 182) ASQ traits or High (16 or higher ASQ score, n = 91) ASQ traits. Participants were given the ASQ (Baron-Cohen et al., 2001) and the EFI (Spinella, 2005). High ASQ subjects were significantly impaired (p's < .04) on the Motivation/Drive (EFI-1) and Organization (EFI-4) subscales of the EFI, as compared to the Low ASQ subjects. However, no High/Low ASQ group differences were observed for EFI-2 (Impulse Control), EFI-3 (Empathy), EFI-5 (Planning) subscales or the EFI-Total Score (p's > .12), although these differences were in the predicted direction (High ASQ < Low ASQ). Use of the EFI as a measure of executive function performance in nonclinical ASQ trait individuals requires further study and may not be sensitive enough of an instrument to assess EF in nonclinical populations with autistic traits.",Remaining,0,0,doi_dummy,human
824,291,9745,9745353,Seishin shinkeigaku zasshi = Psychiatria et neurologia Japonica,[A study of neuroleptic malignant syndrome in the presenium and senium].,"Recently, with the increase in elderly population, we have had more opportunities to administer neuroleptics to elderly patients for hallucinatory delusional state, delirium, psychomotor excitement, wandering etc. However, little is known about the characteristics of the neuroleptic malignant syndrome (NMS) in elderly patients, which is the most serious side effect of neuroleptics. In this paper, we present the clinical course of five NMS patients in the presenium and senium. Case 1 was 72-year-old male who was diagnosed as having dementia of Alzheimer's type (with late onset). He showed nocturnal wandering, insomnia, and irritability. Tiapride 60 mg per day had been administered previously. Just after the addition of oxypertine 10 mg per day, NMS occurred, and he died of pneumonia a week later. Case 2 was 75-year-old male who was diagnosed as having vascular dementia. He showed insomnia, hyperactivity and wandering. He had been given levomepromazine (LPZ) 10 mg per day over a long period of time. At first, he had daily episodic fever, however, serum CPK levels did not increase at that time. A month later, all the symptoms of NMS appeared and then the patient's condition suddenly deteriorated and he died three days later. Case 3 was a 64-year-old male who was diagnosed as having dementia of Alzheimer's type (with early onset). He showed insomnia, irritability and violence. Tiapride 50-125 mg per day was administered along with oxypertine 50-115 mg per day. Almost two months later, NMS occurred. He had daily episodic fever at first, extrapyramidal symptoms and autonomic instabilities gradually increased. Soon after symptoms of NMS were completed. In this case, NMS seemed to be induced by bacterial pneumonia after long term administration of LPZ 5 mg per day. Case 4 was a 75-year-old female who was diagnosed as having dementia of Alzheimer's type (with late onset). She showed hallucinatory delusional state. Although she had autonomic instabilities just after adminstration of haloperidol 1-2 mg per day, NMS itself occurred after discontinuing the neuroleptic. Case 5 was a 61-year-old female who was diagnosed as having schizophrenia at the age of forty. She was given various neuroleptics over a period of time. The neuroimaging in SPECT showed her cerebral cortex was generally hypoactive. She had a tendency to have autonomic instabilities after the administration of relatively high potential neuroleptics. Risperidone 3-6 mg per day was administered, and almost a month later, autonomic instabilities increased and she was diagnosed as having NMS. All the patients would be able to have brain dysfunction, which suggested that such patients may be liable to NMS. In our patients, NMS occurred after the additional administration of oxypertine 10 mg per day or after long time administration of LPZ 5 mg per day. It was suggested that NMS could occur after the administration of low dose and relatively low potential neuroleptics in elderly patients. Our 3 of 5 patients showed the delayed type of NMS, which might be relatively more frequent in senior and presenior patients than in younger patients. In case 3, NMS was induced by the somatic disease (bacterial pneumonia), however in other cases, NMS was not always induced by somatic disease. Our 4 of 5 patients experienced some of the symptoms of NMS--episodic fever, extrapyramidal symptoms and autonomic instabilities--before the onset of NMS. Such symptoms may be 'pre-steps' to NMS. Once NMS occurred, the patient's systemic condition tended to deteriorate acutely. Due to the fact that our 2 of 5 patients died, it was suggested that the prognosis of the NMS patients in presenium and senium tends to be much worse. It is important to find the 'pre-steps' to NMS and treat them as soon as possible for better prognosis.",Remaining,0,0,doi_dummy,human
826,293,2503,25031221,Schizophrenia bulletin,Mediodorsal and visual thalamic connectivity differ in schizophrenia and bipolar disorder with and without psychosis history.,"Empirical and theoretical studies implicate thalamocortical circuits in schizophrenia, supported by emerging resting-state functional connectivity studies (rs-fcMRI). Similar but attenuated alterations were found in bipolar disorder (BD). However, it remains unknown if segregated loops within thalamocortical systems show distinct rs-fcMRI alterations in schizophrenia. For instance, the mediodorsal (MD) nucleus, known to project to prefrontal networks, may be differently altered than the lateral geniculate nucleus (LGN), known to project to the occipital cortex. Also, it remains unknown if these circuits show different patterns of alterations in BD as a function of psychosis history, which may be associated with a more severe clinical course. We addressed these questions in 90 patients with chronic schizophrenia and 73 remitted BD patients (33 with psychosis history) matched to 146 healthy comparison subjects. We hypothesized that the MD vs LGN would show dissociations across diagnostic groups. We found that MD and LGN show more qualitative similarities than differences in their patterns of dysconnectivity in schizophrenia. In BD, patterns qualitatively diverged between thalamic nuclei although these effects were modest statistically. BD with psychosis history was associated with more severe dysconnectivity, particularly for the MD nucleus. Also, the MD nucleus showed connectivity reductions with the cerebellum in schizophrenia but not in BD. Results suggest dissociations for thalamic nuclei across diagnoses, albeit carefully controlling for medication is warranted in future studies. Collectively, these findings have implications for designing more precise neuroimaging-driven biomarkers that can identify common and divergent large-scale network perturbations across psychiatric diagnoses with shared symptoms.",Remaining,0,0,doi_dummy,human
829,296,2290,22909445,Journal of psychiatry & neuroscience : JPN,Morphometric differences in central stress-regulating structures between women with and without borderline personality disorder.,"Experiences of early life stress, increased psychological arousal and the body's physiologic stress response seem to play an important role in the pathogenesis and maintenance of borderline personality disorder (BPD). In the present study, we investigated alterations in grey matter of central stress-regulating structures in female patients with BPD.	We examined T1-weighted structural magnetic resonance imaging scans of unmedicated, right-handed female patients with BPD (according to DSM-IV criteria) and healthy controls matched for age, intelligence and education using fully automated DARTEL voxel-based morphometry. Our regions of interest analyses included the hippocampus, amygdala, anterior cingulate cortex (ACC) and hypothalamus.	We enrolled 30 patients and 33 controls in our study. The grey matter of patients with BPD was reduced in the hippocampus, but increased in the hypothalamus compared with healthy participants. Hypothalamic volume correlated positively with the history of traumatization in patients with BPD. No significant alterations were found in the amygdala and ACC.	This study is limited by the lack of measures of corticotropin-releasing hormone, adrenocorticotropic hormone and cortisol levels. Furthermore, moderate sample size and comorbid disorders need to be considered.	Our findings provide new evidence for grey matter alterations in the hypothalamus and replicate previously reported decrements in hippocampal volume in patients with BPD. Understanding the role of the hypothalamus and other central stress-regulating structures could help us to further understand the neurobiological underpinnings of this complex disorder.",Remaining,0,0,doi_dummy,human
831,298,1224,12243487,Journal of homosexuality,Differences between lesbians and heterosexual women in disordered eating and related attitudes.,"This study examined differences between lesbians and heterosexual women on disordered eating, awareness and internalization of cultural attitudes concerning thinness, and body esteem concerning weight, physical condition, and sexual attractiveness. In this community sample, lesbians exhibited higher levels of body esteem concerning sexual attractiveness and lower levels of internalization of cultural standards. No differences were found on awareness of cultural standards, disordered eating, or body esteem concerning either weight or physical condition. Implications are discussed.",Remaining,0,0,doi_dummy,human
836,303,3312,33123596,Journal of diabetes research,Relationship between Illness Perception and Depressive Symptoms among Type 2 Diabetes Mellitus Patients in China: A Mediating Role of Coping Style.,"The aims of the present study were to investigate the prevalence of depressive symptoms among type 2 diabetes mellitus (T2DM) patients in China and to explore how coping style influences the relationship between illness perception and depressive symptoms.	Nine hundred and thirty-nine T2DM patients were recruited from a grade 3 Class A hospital in Harbin, China, and asked to complete a demographic questionnaire as well as the Self-rating Depression Scale (SDS), Brief Illness Perception Questionnaire-Revised (IPQ-R), and Medical Coping Modes Questionnaire (MCMQ). Hierarchical linear regression analysis and the bootstrap method were preformed to examine if coping style influenced the relationship between illness perception and depression.	The majority of patients (73.59%) exhibited depressive symptoms, including 37.27% with moderate and 6.71% with severe depressive symptoms. Depressive symptoms were more frequent in patients with complications (P < 0.05). A resignation coping style partially mediated the influence of illness perception on depressive symptoms.	Interventions to improve coping style may reduce the prevalence or severity of depressive symptoms among T2DM patients, potentially enhancing treatment adherence and clinical outcome.",Remaining,0,0,doi_dummy,human
837,304,8584,8584809,Revista de investigacion clinica; organo del Hospital de Enfermedades de la Nutricion,[Activity of aryl sulfatase A enzyme in patients with schizophrenic disorders].,"Metachromatic leukodystrophy (MLD) is a degenerative disease caused by the deficiency of aryl sulfatase (ASA). It can course with psychiatric symptoms. We determined the prevalence of ASA deficiency in a group of 23 patients with presumable schizophrenia. The median serum ASA was 53.2 nmol/mL/h (range 3.3-152.5). Six patients (26%) showed low ASA activity (< 27.5 nmol/mL/h which is the lowest value observed in 29 normal controls); five of them had clinical history of delusions of grandeur, auditive hallucinations, multiple hospitalizations, low response to neuroleptics, and abnormal evoked potentials. It is probable that the schizophrenic symptoms in these patients may be due to the enzyme deficiency. We conclude that the assay is useful in clinical practice as it may help to identify cases of MLD in patients with suspected schizophrenia.",Remaining,0,0,doi_dummy,human
839,306,1065,10652033,Kidney international,Genetic polymorphism of the renin-angiotensin system and organ damage in essential hypertension.,"The renin-angiotensin-aldosterone system (RAAS) plays a significant role in the development of hypertensive cardiac and vascular remodeling. Recently, several genetic variants of its key components, which may be clinically relevant and thus prove to be useful in the evaluation of cardiovascular risk, have been described. We therefore investigated the association between ACE I/D, AGT M235T, and AT1 A1266C gene polymorphisms and early signs of target organ damage in 215 untreated patients with essential hypertension (EH).	Genotyping was based on the polymerase chain reaction technique, with further restriction analysis when required. Albuminuria was measured as the albumin-to-creatinine ratio (ACR). The left ventricular mass index (LVMI) was assessed by echocardiography (LVH = LVMI > or = 125 g/m2), carotid wall thickness (IMT) by an ultrasonographic (US) scan, and retinal vascular changes by direct ophthalmoscopy (Keith-Wagener classification).	The prevalence of microalbuminuria (Mi), LVH, and retinal vascular changes was 14, 46, and 74%, respectively. ACE, AGT, and AT1 genotype distribution was in agreement with the Hardy-Weinberg equilibrium. There was no difference in age, duration of disease, body mass index (BMI), blood pressure, and lipid profile when data were analyzed on the basis of genotype. Serum levels of angiotensin-converting enzyme (ACE) were related to the ACE genotype (10.2 +/- 0.5, DD; 8.2 +/- 0.3, ID; 6.5 +/- 0.4 IU/mL, II; P < 0. 0001 by analysis of variance). The ACE genotype independently influences serum ACE levels and accounts for approximately 14% of its variations (F = 26.7, r2 = 0.1393, df 1 to 214, P < 0.0001). Patients with DD and ID genotypes showed higher levels of ACR (1.59 +/- 0.2, DD + ID; 0.8 +/- 0.2 mg/mmol, II; P < 0.006 by ANOVA) and bigger LVMI (124.1 +/- 2.3, DD + ID vs. 117.8 +/- 3.6 g/m2, II; P < 0.01 by ANOVA). No differences in the prevalence and degree of target organ damage (TOD) were found when data were analyzed on the basis of the AGT and AT1 genotypes, respectively. Potentially unfavorable combinations of genotypes were also investigated by K-means cluster analysis. Two subgroups of patients were identified (cluster 1, N = 70; cluster 2, N = 57), and each differed significantly with regards to the presence and degree of TOD and patterns of RAAS gene polymorphisms (F, 15.97 for ACR; F, 7.19 for IMT; F, 217.03 for LVMI; F, 3.91 for ACE; F, 4.06 for AGT; and F, 5. 22 for AT1; df 1 to 214, P < 0.02, for each one of the variables examined).	The D allele of the ACE gene may be an independent risk factor for the development of target organ damage, and evaluating it could be useful for assessing cardiovascular risk in EH. Unfavorable patterns of RAAS genotypes seem to predispose patients to subclinical cardiovascular disease in EH.",Remaining,0,0,doi_dummy,human
843,310,2908,29089221,"Presse medicale (Paris, France : 1983)",[Spouses' health-related quality of life evaluation of elderly patients with depression].,"To assess and compare the health-related quality of life (HRQoL) of spouses living at home with a patient aged 65 years or more suffering from a major depressive disorder and that of matched controls. Secondly, to investigate whether the HRQoL of spouses was correlated with the assessment of their partner's depression, their own depression and the self-perceived level of care burden experienced by the caregiver partner.	Assessment of patients was based on the clinical diagnosis of a major depressive disorder as established by the criteria of the DSM-IV-TR, the geriatric depression scale GDS-15 and the LEIPAD questionnaire specific to subjects aged 65 or over living at home. Spouses were assessed by GDS-15, the Zarit scale for assessing caregiver burden and the LEIPAD questionnaire. The HRQoL of controls, who were matched for age, sex and educational level, was assessed by LEIPAD.	The study sample (n=38) was made up of 19 patients (mean age of 76.6 years, standard deviation 8.1) and their spouses (mean age of 75.3 years, standard deviation 8.2). The HRQoL score of the spouses was significantly poorer for the scale 'Sexual functioning' (P=0.0007) than that of controls and was negatively affected by their partner's depression (P=0.02). The HRQoL scores of the spouses for 'Physical function', 'Depression and anxiety' and 'Sexual functioning' were negatively affected by their own depression (correlation coefficients r=0.50, 0.53 and 0.54, respectively). The HRQoL scores for 'Self-care', 'Sexual functioning' and 'Life satisfaction' were also negatively affected in spouses by the self-perceived burden of care (correlation coefficients r=0.59, 0.57 and 0.51, respectively).	The sexual quality of life of spouses of elderly patients suffering from a major depressive disorder was significantly impaired. The patients' and spouses' depression and the caregivers' burden also had a negative impact on several aspects of the HRQoL of the spouses. It seems to be important, therefore, to assess the mental state, care burden and HRQoL of spouses caring for elderly patients suffering from depression so as to offer help when required to partners in difficulty.",Remaining,0,0,doi_dummy,human
845,312,1870,18703815,Stroke,Dose-response relationship between cigarette smoking and risk of ischemic stroke in young women.,"Although cigarette smoking is known to be a risk factor for ischemic stroke, there are few data on the dose-response relationship between smoking and stroke risk in a young ethnically diverse population.	We used data from the Stroke Prevention in Young Women Study, a population-based case-control study of risk factors for ischemic stroke in women aged 15 to 49 years to examine the relationship between cigarette smoking and ischemic stroke. Historical data, including smoking history, was obtained through standardized interviews. Odds ratios (OR) were estimated using logistic regression. Cases (n=466) were women with stroke in the greater Baltimore-Washington area, and controls (n=604) were women free of a stroke history identified by random digit dialing.	After multivariable adjustment, the OR comparing current smokers to never smokers was 2.6 (P<0.0001); no difference in stroke risk was observed between former smokers and never smokers. Adjusted OR increased with increasing number of cigarettes smoked per day (OR=2.2 for 1 to 10 cigs/d; 2.5 for 11 to 20 cigs/d; 4.3 for 21 to 39 cigs/d; 9.1 for 40 or more cigs/d).	These results suggest a strong dose-response relationship between cigarette smoking and ischemic stroke risk in young women and reinforce the need for aggressive smoking cessation efforts in young adults.",Remaining,0,0,doi_dummy,human
851,318,3002,30029063,Psychiatry research,Deficits in physiological and self-conscious emotional response to errors in hoarding disorder.,"Hoarding disorder (HD) has been hypothesized to arise from deficits in error monitoring and abnormalities in emotional processing, but the relationship between error monitoring and emotional processing has not been examined. We examined measures of self-report, as well as behavioral, physiological, and facial responses to errors during a Stop-Change Task. 25 participants with HD and 32 healthy controls (HC) were recruited. Participants reported on number of errors committed and pre/post emotional response to errors. Skin conductance response (SCR) during correct and error commission trials was examined. Facial expression during task performance was coded for self-conscious and negative emotions. HD and HC participants had significantly different error rates but comparable error correction and post-error slowing. SCR was significantly lower for HD during error commission than for HC. During error trials, HD participants showed a significant deficit in displays of self-conscious emotions compared to HC. Self-reported emotions were increased in HD, with more negative and self-conscious emotion reported than was reported for HC participants. These findings suggest that hypoactive emotional responding at a physiological level may play a role in how errors are processed in individuals with HD.",Remaining,0,0,doi_dummy,human
854,321,3766,37660045,Translational psychiatry,Brain mediators of biased social learning of self-perception in social anxiety disorder.,"Social anxiety disorder (SAD) is characterized by an excessive fear of social evaluation and a persistently negative view of the self. Here we test the hypothesis that negative biases in brain responses and in social learning of self-related information contribute to the negative self-image and low self-esteem characteristic of SAD. Adult participants diagnosed with social anxiety (N = 21) and matched controls (N = 23) rated their performance and received social feedback following a stressful public speaking task. We investigated how positive versus negative social feedback altered self-evaluation and state self-esteem and used functional Magnetic Resonance Imaging (fMRI) to characterize brain responses to positive versus negative feedback. Compared to controls, participants with SAD updated their self-evaluation and state self-esteem significantly more based on negative compared to positive social feedback. Responses in the frontoparietal network correlated with and mirrored these behavioral effects, with greater responses to positive than negative feedback in non-anxious controls but not in participants with SAD. Responses to social feedback in the anterior insula and other areas mediated the effects of negative versus positive feedback on changes in self-evaluation. In non-anxious participants, frontoparietal brain areas may contribute to a positive social learning bias. In SAD, frontoparietal areas are less recruited overall and less attuned to positive feedback, possibly reflecting differences in attention allocation and cognitive regulation. More negatively biased brain responses and social learning could contribute to maintaining a negative self-image in SAD and other internalizing disorders, thereby offering important new targets for interventions.",Remaining,0,0,doi_dummy,human
855,322,2262,22626708,Neurology India,Chronic manganese toxicity due to substance abuse in Turkish patients.,"Manganese toxicity may lead to a levodopa-resistant akinetic-rigid syndrome. Pathological changes occur mostly in the pallidium and stratium.	We report seven patients with a new form of chronic manganese toxicity due to long-term intravenous use of a solution consisting of ephedrine, acetylsalicylic acid and potassium permanganate as a psycho-stimulant, popularly known as 'Russian Cocktail'.	The age of the patients ranged between 19 and 31 years, and the duration of substance abuse was between nine and 106 months. The onset of symptoms from first use ranged seven to 35 months. The initial symptom was impaired speech followed by gait disturbance and bradykinesia. In addition to these symptoms, choreic movements, ataxia presenting as backward falls and dystonia were also seen. Serum and urine samples revealed high levels of manganese. Hyperintense lesions on T1-weighted magnetic resonance imaging were seen in bilateral basal ganglia and brainstem, dentate nuclei, features consistent with manganese intoxication.	Manganese toxicity, which may cause a distinctive irreversible neurodegenerative disorder, can be seen frequently with 'Russian Cocktail' abuse, a substance which can be accessed very easily and at a low cost.",Remaining,0,0,doi_dummy,human
