idx,pmid,journal_name,title,abstract,keywords,accepted_label,multi_label,binary_label
296,22909445,Journal of psychiatry & neuroscience : JPN,Morphometric differences in central stress-regulating structures between women with and without borderline personality disorder.,"Experiences of early life stress, increased psychological arousal and the body's physiologic stress response seem to play an important role in the pathogenesis and maintenance of borderline personality disorder (BPD). In the present study, we investigated alterations in grey matter of central stress-regulating structures in female patients with BPD.	We examined T1-weighted structural magnetic resonance imaging scans of unmedicated, right-handed female patients with BPD (according to DSM-IV criteria) and healthy controls matched for age, intelligence and education using fully automated DARTEL voxel-based morphometry. Our regions of interest analyses included the hippocampus, amygdala, anterior cingulate cortex (ACC) and hypothalamus.	We enrolled 30 patients and 33 controls in our study. The grey matter of patients with BPD was reduced in the hippocampus, but increased in the hypothalamus compared with healthy participants. Hypothalamic volume correlated positively with the history of traumatization in patients with BPD. No significant alterations were found in the amygdala and ACC.	This study is limited by the lack of measures of corticotropin-releasing hormone, adrenocorticotropic hormone and cortisol levels. Furthermore, moderate sample size and comorbid disorders need to be considered.	Our findings provide new evidence for grey matter alterations in the hypothalamus and replicate previously reported decrements in hippocampal volume in patients with BPD. Understanding the role of the hypothalamus and other central stress-regulating structures could help us to further understand the neurobiological underpinnings of this complex disorder.",,Remaining,0,0
297,14710468,"Journal of clinical child and adolescent psychology : the official journal for the Society of Clinical Child and Adolescent Psychology, American Psychological Association, Division 53",Separation anxiety disorder in young children: a longitudinal and family analysis.,"We conducted a longitudinal study of young children with clinical, subclinical, or nonclinical levels of separation anxiety to evaluate the diagnostic stability and concomitant parent and family variables of separation anxiety disorder (SAD). Youngsters were assessed at age 3 years (n = 60) and 3.5 years later (n = 44). Data were collected from children, parents, teachers, and clinicians. Results revealed that most diagnoses of SAD were not stable during this developmental period, as many children drifted toward subclinical or nonclinical status. In addition, children with clinical SAD, compared to those with subclinical SAD or no symptoms of SAD, had a disproportionately higher number of comorbid diagnoses and experienced significantly greater somatic concerns, anxiety, and general internalizing behavior. In addition, their parents experienced greater depression, obsessive-compulsive behavior, phobic anxiety, and general distress. The results preliminarily support prior findings that most children experience a dissipation of SAD symptoms in young childhood but that some children continue to experience stable, significant distress. The results are consistent with prior research on older children that SAD remits for many but not all youth and suggest that parent and family variables may have much to do with cases of poor remission in this population.",,Remaining,0,0
298,12243487,Journal of homosexuality,Differences between lesbians and heterosexual women in disordered eating and related attitudes.,"This study examined differences between lesbians and heterosexual women on disordered eating, awareness and internalization of cultural attitudes concerning thinness, and body esteem concerning weight, physical condition, and sexual attractiveness. In this community sample, lesbians exhibited higher levels of body esteem concerning sexual attractiveness and lower levels of internalization of cultural standards. No differences were found on awareness of cultural standards, disordered eating, or body esteem concerning either weight or physical condition. Implications are discussed.",,Remaining,0,0
299,14710666,Zeitschrift fur arztliche Fortbildung und Qualitatssicherung,[Development and evaluation of a basic documentation tool for guideline-oriented ambulatory care of depressive patients].,"Quality assurance in the treatment of mental disorders is becoming increasingly significant. In this context, documentation systems are important in order to control the implementation of guidelines, to analyse shortcomings and to reveal improvement possibilities. Up till now there is no specific documentation tool for the outpatient care of depressive disorders. Within the project 'Comprehensive Quality Management in Out-patient Care' a documentation tool for primary care as well as for psychiatric care of depressive patients has been developed, which embraces the principal diagnostic and therapeutic measures. This documentation tool consisting of an instrument for the physician to record the first consultation, a second instrument to record the following consultations as well as a patient questionnaire has been implemented and evaluated in primary care and psychiatric practices. The evaluation results demonstrate that the documentation tool is able to assess guideline-oriented treatment measures. Physicians evaluated the usefulness and practicability of the documentation tool positively. And although the documentation efforts required are quite extensive, this documentation tool provides a suitable basis for external or internal quality assurance as well as patient-oriented case-monitoring.",,Remaining,0,0
300,7833423,Biological psychiatry,No evidence of linkage or allelic association of schizophrenia with DNA markers at pericentric region of chromosome 9.,"Based on our previous study suggesting the pericentric region of chromosome 9 as of potential importance in schizophrenia, we have carried out a linkage study between the schizophrenia phenotype and the dinucleotide repeat polymorphisms D9S55, D9S15, and D9S202 in three pedigrees multiply affected with schizophrenia. In addition, we have conducted allelic association studies using 60 patients with schizophrenia and 60 controls with polymorphisms at D9S55 and D9S15 markers. No evidence for linkage or association was found. The results indicate that susceptibility genes for schizophrenia are less likely to be located at the pericentric region of chromosome 9, assuming genetic homogeneity of the pedigrees.",,Remaining,0,0
301,36085340,Pituitary,Historical and future trends in emergency pituitary referrals: a machine learning analysis.,"Acute pituitary referrals to neurosurgical services frequently necessitate emergency care. Yet, a detailed characterisation of pituitary emergency referral patterns, including how they may change prospectively is lacking. This study aims to evaluate historical and current pituitary referral patterns and utilise state-of-the-art machine learning tools to predict future service use.	A data-driven analysis was performed using all available electronic neurosurgical referrals (2014-2021) to the busiest U.K. pituitary centre. Pituitary referrals were characterised and volumes were predicted using an auto-regressive moving average model with a preceding seasonal and trend decomposition using Loess step (STL-ARIMA), compared against a Convolutional Neural Network-Long Short-Term Memory (CNN-LSTM) algorithm, Prophet and two standard baseline forecasting models. Median absolute, and median percentage error scoring metrics with cross-validation were employed to evaluate algorithm performance.	462 of 36,224 emergency referrals were included (referring centres = 48; mean patient age = 56.7 years, female:male = 0.49:0.51). Emergency medicine and endocrinology accounted for the majority of referrals (67%). The most common presentations were headache (47%) and visual field deficits (32%). Lesions mainly comprised tumours or haemorrhage (85%) and involved the pituitary gland or fossa (70%). The STL-ARIMA pipeline outperformed CNN-LSTM, Prophet and baseline algorithms across scoring metrics, with standard accuracy being achieved for yearly predictions. Referral volumes significantly increased from the start of data collection with future projected increases (p < 0.001) and did not significantly reduce during the COVID-19 pandemic.	This work is the first to employ large-scale data and machine learning to describe and predict acute pituitary referral volumes, estimate future service demands, explore the impact of system stressors (e.g. COVID pandemic), and highlight areas for service improvement.",COVID-19| Machine learning| Referrals| Service demand| Time-series forecasting,Remaining,0,0
302,33115369,Transcultural psychiatry,"Persistent psychological distress in resettled refugee women-at-risk at one-year follow-up: Contributions of trauma, post-migration problems, loss, and trust.","The mental health of women has been largely neglected in the refugee literature, notwithstanding the specific gender-related issues that confront women seeking asylum. Furthermore, a specific category of women, deemed to be women-at-risk, face particular challenges in their journey and resettlement process. This longitudinal study investigated psychological distress in refugee women-at-risk one year after resettlement in Australia. Follow-up survey of 83 women-at-risk (mean age = 33.41 years; SD = 11.93) assessed: trauma events and symptoms; loss events and loss distress; level of post-migration problems; anxiety, depression, and somatic symptoms; and absence of trust in community members. Participants demonstrated no symptom change since initial assessment (p > .05). Substantial proportions of women reported traumatization (39%), PTSD (20%), anxiety (32%), and depression (39%) above clinical cut-offs, and high levels of somatization and loss distress. Post-migration problems, trauma events, and region of birth were associated with all symptoms, with post-migration problems the strongest predictor. Absence of trust in community members was associated with trauma, depression, and somatic symptoms. Initial trauma and somatic symptoms were associated with follow-up traumatic and somatic symptoms. Loss and trauma events were associated with loss distress. Findings underline the role of post-migration problems on psychological distress and the need to consider women's psychological wellbeing in the context of their trauma and loss history, potential impacts of ethnicity, and complex socio-cultural dynamics underpinning issues of trust within communities. Effective service delivery requires that practitioners screen for and address psychological distress in women-at-risk at least up to 18 months after resettlement.",longitudinal| loss| psychological symptoms| refugees| trust| women-at-risk,Remaining,0,0
303,33123596,Journal of diabetes research,Relationship between Illness Perception and Depressive Symptoms among Type 2 Diabetes Mellitus Patients in China: A Mediating Role of Coping Style.,"The aims of the present study were to investigate the prevalence of depressive symptoms among type 2 diabetes mellitus (T2DM) patients in China and to explore how coping style influences the relationship between illness perception and depressive symptoms.	Nine hundred and thirty-nine T2DM patients were recruited from a grade 3 Class A hospital in Harbin, China, and asked to complete a demographic questionnaire as well as the Self-rating Depression Scale (SDS), Brief Illness Perception Questionnaire-Revised (IPQ-R), and Medical Coping Modes Questionnaire (MCMQ). Hierarchical linear regression analysis and the bootstrap method were preformed to examine if coping style influenced the relationship between illness perception and depression.	The majority of patients (73.59%) exhibited depressive symptoms, including 37.27% with moderate and 6.71% with severe depressive symptoms. Depressive symptoms were more frequent in patients with complications (P < 0.05). A resignation coping style partially mediated the influence of illness perception on depressive symptoms.	Interventions to improve coping style may reduce the prevalence or severity of depressive symptoms among T2DM patients, potentially enhancing treatment adherence and clinical outcome.",,Remaining,0,0
304,8584809,Revista de investigacion clinica; organo del Hospital de Enfermedades de la Nutricion,[Activity of aryl sulfatase A enzyme in patients with schizophrenic disorders].,"Metachromatic leukodystrophy (MLD) is a degenerative disease caused by the deficiency of aryl sulfatase (ASA). It can course with psychiatric symptoms. We determined the prevalence of ASA deficiency in a group of 23 patients with presumable schizophrenia. The median serum ASA was 53.2 nmol/mL/h (range 3.3-152.5). Six patients (26%) showed low ASA activity (< 27.5 nmol/mL/h which is the lowest value observed in 29 normal controls); five of them had clinical history of delusions of grandeur, auditive hallucinations, multiple hospitalizations, low response to neuroleptics, and abnormal evoked potentials. It is probable that the schizophrenic symptoms in these patients may be due to the enzyme deficiency. We conclude that the assay is useful in clinical practice as it may help to identify cases of MLD in patients with suspected schizophrenia.",,Remaining,0,0
305,20831935,Dental clinics of North America,"Needle phobia: etiology, adverse consequences, and patient management.","Needle phobia has profound health, dental, societal, and legal implications, and severe psychological, social, and physiologic consequences. There is genetic evidence for the physiologic response to needle puncture, and a significant familial psychological component, showing evidence of inheritance. Needle phobia is also a learned behavior. The dental practitioner must recognize patients with needle phobia before the administration of local anesthetics to identify patients who are potentially reactive and to prevent untoward sequelae. Needle phobia is highly associated with avoidance behavior, and the dentist must exhibit compassion and respect. To avoid bradycardia, hypotension, unconsciousness, convulsions, and possibly asystole, oral premedication with benzodiazepines or other antianxiety agents must be considered for patients who are needle phobic. Management of needle phobiaeinduced syncope includes perioperative monitoring, oxygen administration, positioning, atropine, and vasopressors.",,Remaining,0,0
306,10652033,Kidney international,Genetic polymorphism of the renin-angiotensin system and organ damage in essential hypertension.,"The renin-angiotensin-aldosterone system (RAAS) plays a significant role in the development of hypertensive cardiac and vascular remodeling. Recently, several genetic variants of its key components, which may be clinically relevant and thus prove to be useful in the evaluation of cardiovascular risk, have been described. We therefore investigated the association between ACE I/D, AGT M235T, and AT1 A1266C gene polymorphisms and early signs of target organ damage in 215 untreated patients with essential hypertension (EH).	Genotyping was based on the polymerase chain reaction technique, with further restriction analysis when required. Albuminuria was measured as the albumin-to-creatinine ratio (ACR). The left ventricular mass index (LVMI) was assessed by echocardiography (LVH = LVMI > or = 125 g/m2), carotid wall thickness (IMT) by an ultrasonographic (US) scan, and retinal vascular changes by direct ophthalmoscopy (Keith-Wagener classification).	The prevalence of microalbuminuria (Mi), LVH, and retinal vascular changes was 14, 46, and 74%, respectively. ACE, AGT, and AT1 genotype distribution was in agreement with the Hardy-Weinberg equilibrium. There was no difference in age, duration of disease, body mass index (BMI), blood pressure, and lipid profile when data were analyzed on the basis of genotype. Serum levels of angiotensin-converting enzyme (ACE) were related to the ACE genotype (10.2 +/- 0.5, DD; 8.2 +/- 0.3, ID; 6.5 +/- 0.4 IU/mL, II; P < 0. 0001 by analysis of variance). The ACE genotype independently influences serum ACE levels and accounts for approximately 14% of its variations (F = 26.7, r2 = 0.1393, df 1 to 214, P < 0.0001). Patients with DD and ID genotypes showed higher levels of ACR (1.59 +/- 0.2, DD + ID; 0.8 +/- 0.2 mg/mmol, II; P < 0.006 by ANOVA) and bigger LVMI (124.1 +/- 2.3, DD + ID vs. 117.8 +/- 3.6 g/m2, II; P < 0.01 by ANOVA). No differences in the prevalence and degree of target organ damage (TOD) were found when data were analyzed on the basis of the AGT and AT1 genotypes, respectively. Potentially unfavorable combinations of genotypes were also investigated by K-means cluster analysis. Two subgroups of patients were identified (cluster 1, N = 70; cluster 2, N = 57), and each differed significantly with regards to the presence and degree of TOD and patterns of RAAS gene polymorphisms (F, 15.97 for ACR; F, 7.19 for IMT; F, 217.03 for LVMI; F, 3.91 for ACE; F, 4.06 for AGT; and F, 5. 22 for AT1; df 1 to 214, P < 0.02, for each one of the variables examined).	The D allele of the ACE gene may be an independent risk factor for the development of target organ damage, and evaluating it could be useful for assessing cardiovascular risk in EH. Unfavorable patterns of RAAS genotypes seem to predispose patients to subclinical cardiovascular disease in EH.",,Remaining,0,0
307,26062911,Clinical EEG and neuroscience,Electroencephalography and Brain MRI Patterns in Encephalopathy.,"Using electroencephalography (EEG) and histology in patients with diffuse encephalopathy, Gloor et al reported that paroxysmal synchronous discharges (PSDs) on EEG required combined cortical gray (CG) and 'subcortical' gray (SCG) matter pathology, while polymorphic delta activity (PDA) occurred in patients with white matter pathology. In patients with encephalopathy, we compared EEG findings and magnetic resonance imaging (MRI) to determine if MRI reflected similar pathological EEG correlations.	Retrospective case control study of 52 cases with EEG evidence of encephalopathy and 50 controls without evidence of encephalopathy. Review of clinical, EEG and MRI data acquired within 4 days of each other.	The most common EEG finding in encephalopathy was background slowing, in 96.1%. We found PSDs in 0% of cases with the combination of CG and SCG abnormalities. Although 13.5% (n=7) had PSDs on EEG; 3 of these had CG and 4 had SCG abnormalities. A total of 73.1% (38/52) had white matter abnormalities-of these 28.9% (11/38) had PDA.	PSDs were found with either CG or 'SCG' MRI abnormalities and did not require a combination of the two. In agreement with Gloor et al, PDA occurred with white matter MRI abnormalities in the absence of gray matter abnormalities.",electroencephalogram| encephalopathy| gray matter| magnetic resonance imaging| white matter,Remaining,0,0
308,2762450,Psychological medicine,Development of a new self-report questionnaire to measure self esteem.,"In constructing a new self-report questionnaire for measuring self esteem, the aim has been to satisfy psychometric requirements without sacrificing the intuitive meaning of the concept. Self esteem is seen as a composite, and examination of its components may have more analytic or predictive value than 'global' scores. Preliminary reliability and validity data are encouraging.",,Remaining,0,0
309,34840694,Journal of healthcare engineering,Factors Associated with Cranial Nerve Injury after Radiotherapy for Large Brain Metastases.,"This paper mainly studied the correlation factors of cranial nerve injury after radiotherapy for large brain metastases by investigating the influencing factors and predictors of cranial nerve injury, which can provide a good reference and idea for radiotherapy. Through a large number of experiments, it is proved that the research idea proposed in this paper is reasonable and correct.",,Remaining,0,0
310,29089221,"Presse medicale (Paris, France : 1983)",[Spouses' health-related quality of life evaluation of elderly patients with depression].,"To assess and compare the health-related quality of life (HRQoL) of spouses living at home with a patient aged 65 years or more suffering from a major depressive disorder and that of matched controls. Secondly, to investigate whether the HRQoL of spouses was correlated with the assessment of their partner's depression, their own depression and the self-perceived level of care burden experienced by the caregiver partner.	Assessment of patients was based on the clinical diagnosis of a major depressive disorder as established by the criteria of the DSM-IV-TR, the geriatric depression scale GDS-15 and the LEIPAD questionnaire specific to subjects aged 65 or over living at home. Spouses were assessed by GDS-15, the Zarit scale for assessing caregiver burden and the LEIPAD questionnaire. The HRQoL of controls, who were matched for age, sex and educational level, was assessed by LEIPAD.	The study sample (n=38) was made up of 19 patients (mean age of 76.6 years, standard deviation 8.1) and their spouses (mean age of 75.3 years, standard deviation 8.2). The HRQoL score of the spouses was significantly poorer for the scale 'Sexual functioning' (P=0.0007) than that of controls and was negatively affected by their partner's depression (P=0.02). The HRQoL scores of the spouses for 'Physical function', 'Depression and anxiety' and 'Sexual functioning' were negatively affected by their own depression (correlation coefficients r=0.50, 0.53 and 0.54, respectively). The HRQoL scores for 'Self-care', 'Sexual functioning' and 'Life satisfaction' were also negatively affected in spouses by the self-perceived burden of care (correlation coefficients r=0.59, 0.57 and 0.51, respectively).	The sexual quality of life of spouses of elderly patients suffering from a major depressive disorder was significantly impaired. The patients' and spouses' depression and the caregivers' burden also had a negative impact on several aspects of the HRQoL of the spouses. It seems to be important, therefore, to assess the mental state, care burden and HRQoL of spouses caring for elderly patients suffering from depression so as to offer help when required to partners in difficulty.",,Remaining,0,0
311,34775687,Brain and behavior,Migraine headache in Sudan.,"Migraine is a main form of headache, it is also a chronic and complex neuroinflammatory disease; it is characterized by recurrent severe headaches, usually affecting one side of the head, and often accompanied by nausea and blurred vision. In susceptible individuals, irritants can trigger migraine attacks, which can be considered as triggers or accelerators.	To describe the precipitating factors, clinical presentation, and treatment of migraine headache in Sudanese patients.	This is a descriptive hospital-based prospective study covering 130 patients during the study period from January 2016 to December 2018. At the National Centre for Neurological Science, Khartoum, participants were Sudanese patients with migraine headache after exclusion of other causes of headache. Data was collected using structured questionnaire entered and analyzed using SPSS version 22.0, p value < .05 is considered significant.	The study covered 130 study participants most of them were females (80%), within 26-35 years of age (56.9%) and a considerable proportion of them were housewives (40%). The majority of the study participants had headache without aura in 81.5% and headache with aura in 18.5% (mainly visual type 87.5%). Photophobia and nausea were the main associated symptoms in 51.5% and 50%, respectively. Acetaminophen was the main prescribed treatment in 46.1%, beta blockers was the main prophylaxis in 29.2%. Environmental triggers were the prevalent predisposing factors (43.8%) followed by fasting, lack of sleep, and exertion (24.6% for each).	Environmental conditions were the commonest triggering factors of migraine headache, while Acetaminophen was the most common drug used for relieving migraine in this population.",Sudan| aura| headache| migraine| precipitating factors,Remaining,0,0
312,18703815,Stroke,Dose-response relationship between cigarette smoking and risk of ischemic stroke in young women.,"Although cigarette smoking is known to be a risk factor for ischemic stroke, there are few data on the dose-response relationship between smoking and stroke risk in a young ethnically diverse population.	We used data from the Stroke Prevention in Young Women Study, a population-based case-control study of risk factors for ischemic stroke in women aged 15 to 49 years to examine the relationship between cigarette smoking and ischemic stroke. Historical data, including smoking history, was obtained through standardized interviews. Odds ratios (OR) were estimated using logistic regression. Cases (n=466) were women with stroke in the greater Baltimore-Washington area, and controls (n=604) were women free of a stroke history identified by random digit dialing.	After multivariable adjustment, the OR comparing current smokers to never smokers was 2.6 (P<0.0001); no difference in stroke risk was observed between former smokers and never smokers. Adjusted OR increased with increasing number of cigarettes smoked per day (OR=2.2 for 1 to 10 cigs/d; 2.5 for 11 to 20 cigs/d; 4.3 for 21 to 39 cigs/d; 9.1 for 40 or more cigs/d).	These results suggest a strong dose-response relationship between cigarette smoking and ischemic stroke risk in young women and reinforce the need for aggressive smoking cessation efforts in young adults.",,Remaining,0,0
313,11190862,Revista de neurologia,[Post-traumatic lesion of the carotid artery. Evaluation of the clinico-radiological diagnosis].,"Posttraumatic vascular lesions of the carotid artery (PLCA) are infrequent but have a high morbid-mortality, so early diagnosis and treatment is important.	To review the clinical and radiological findings of the PLCA with the hypothesis that there are signs which permit early diagnosis.	A retrospective study of 9 patients (p) with PLCA.	The cause was road traffic accident (4p), fall (1p) or a single abrupt cervical movement (4p). The initial clinical feature was cervical pain (1p), deafness (1p), Claude-Bernard-Horner syndrome (4p) or symptoms of a cerebral vascular accident (6p). Cranial CT showed a cerebral infarct in the territory of the middle cerebral artery (6p), subarachnoid hemorrhage (1p) or normal (3p). Diagnosis of the vascular lesion was made using magnetic resonance (9p), arteriography (5p) and echo-Doppler (4p). The vascular lesions were: severe stenosis due to a mural thrombosis (3p), complete obstruction due to thrombosis (4p) and pseudoaneurysm (2p).	PLCA should be suspected following craniofacial-cervical trauma when there was an abrupt neck movement, a Claude-Bernard-Horner syndrome is present or a cerebral infarct in the territory of the middle cerebral artery is shown.",,Remaining,0,0
314,32744524,Journal of visualized experiments : JoVE,Patient-Specific Polyvinyl Alcohol Phantom Fabrication with Ultrasound and X-Ray Contrast for Brain Tumor Surgery Planning.,"Phantoms are essential tools for clinical training, surgical planning and the development of novel medical devices. However, it is challenging to create anatomically accurate head phantoms with realistic brain imaging properties because standard fabrication methods are not optimized to replicate any patient-specific anatomical detail and 3D printing materials are not optimized for imaging properties. In order to test and validate a novel navigation system for use during brain tumor surgery, an anatomically accurate phantom with realistic imaging and mechanical properties was required. Therefore, a phantom was developed using real patient data as input and 3D printing of molds to fabricate a patient-specific head phantom comprising the skull, brain and tumor with both ultrasound and X-ray contrast. The phantom also had mechanical properties that allowed the phantom tissue to be manipulated in a similar manner to how human brain tissue is handled during surgery. The phantom was successfully tested during a surgical simulation in a virtual operating room. The phantom fabrication method uses commercially available materials and is easy to reproduce. The 3D printing files can be readily shared, and the technique can be adapted to encompass many different types of tumor.",,Remaining,0,0
315,24524869,Journal of neuroradiology = Journal de neuroradiologie,Comparison of ADC values of intracranial hemangiopericytomas and angiomatous and anaplastic meningiomas.,"This study aimed to determine whether the use of apparent diffusion coefficient (ADC) values can improve the diagnostic efficacy of magnetic resonance imaging (MRI) to differentiate hemangiopericytoma (HPC) from angiomatous and anaplastic meningioma.	Preoperative diffusion-weighted imaging (DWI) studies of 38 patients with pathologically proven intracranial HPC (n = 12) and angiomatous (n = 13) or anaplastic meningioma (n = 13) were retrospectively reviewed. ADC values were measured in the tumor parenchyma and peritumoral edema, and used to obtain normalized ADC (NADC) ratios (ADC of tumor/ADC of normal white matter).	Mean ADC values were significantly different between HPC and anaplastic meningioma (1.17 ± 0.30 × 10(-3) mm(2)/s and 0.75 ± 0.11 × 10(-3) mm(2)/s, respectively). Mean NADC ratios were also significantly lower in the malignant cases (0.95 ± 0.13) compared with the benign HPCs (1.53 ± 0.39; P < 0.05). Mean ADC values and NADC ratios did not differ significantly between angiomatous meningioma and HPC (P > 0.05), whereas mean ADC values and NADC ratios were lower for anaplastic meningioma than for either angiomatous meningioma or HPC (P < 0.05). Mean ADC value in peritumoral edema in HPC (1.48 ± 0.11 × 10(-3) mm(2)/s) was lower than in either angiomatous (1.73 ± 0.28 × 10(-3) mm(2)/s) or anaplastic (1.72 ± 0.25 × 10(-3) mm(2)/s) meningioma (P < 0.05), and there was no significant difference between ADC values in anaplastic versus angiomatous meningioma (P > 0.05).	ADC values in tumor parenchyma and peritumoral edema can provide helpful information that is otherwise not available from conventional MRI to differentiate HPC from angiomatous and anaplastic meningioma.",Apparent diffusion coefficient| Hemangiopericytoma| Meningioma,Remaining,0,0
316,32668441,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,Leveraging large genomic datasets to illuminate the pathobiology of autism spectrum disorders.,"Big data approaches in the form of large-scale human genomic studies have led to striking advances in autism spectrum disorder (ASD) genetics. Similar to many other psychiatric syndromes, advances in genotyping technology, allowing for inexpensive genome-wide assays, has confirmed the contribution of polygenic inheritance involving common alleles of small effect, a handful of which have now been definitively identified. However, the past decade of gene discovery in ASD has been most notable for the application, in large family-based cohorts, of high-density microarray studies of submicroscopic chromosomal structure as well as high-throughput DNA sequencing-leading to the identification of an increasingly long list of risk regions and genes disrupted by rare, de novo germline mutations of large effect. This genomic architecture offers particular advantages for the illumination of biological mechanisms but also presents distinctive challenges. While the tremendous locus heterogeneity and functional pleiotropy associated with the more than 100 identified ASD-risk genes and regions is daunting, a growing armamentarium of comprehensive, large, foundational -omics databases, across species and capturing developmental trajectories, are increasingly contributing to a deeper understanding of ASD pathology.",,Remaining,0,0
317,755870,Journal of behavioral medicine,Perceived Somatic Response Inventory: three scales developed by factor analysis.,"Studies of autonomic reactivity and of voluntary control of autonomic responses have suggested the importance of individual differences. An inventory of scales was developed to improve the assessment of different dimensions of somatic functioning. In order to enhance their specificity and incremental validity, the scales were constructed to be relatively independent of already known general personality variables such as Stress Reaction (neuroticism), Locus of Control, Hypochondriasis, and Absorption. Three scales, derived from orthogonal factor analyses, were developed and cross-validated: (1) Autonomic Response Frequency, assessing spontaneous fluctuations in autonomic responding; (2) Autonomic Response to Stress, assessing the amount of autonomic arousal perceived by a subject in stress situations; and (3) Somatic Response Control, a self-report measure of capacity to control both autonomic and fine muscle responses. The hypothesis that sympathetic and parasympathetic awareness might define two distinct dimensions was not supported by the data. The new scales will be useful in testing hypotheses of possible relationships among the factors measured and behavioral and psychophysiological indicators of the response to stress.",,Remaining,0,0
318,30029063,Psychiatry research,Deficits in physiological and self-conscious emotional response to errors in hoarding disorder.,"Hoarding disorder (HD) has been hypothesized to arise from deficits in error monitoring and abnormalities in emotional processing, but the relationship between error monitoring and emotional processing has not been examined. We examined measures of self-report, as well as behavioral, physiological, and facial responses to errors during a Stop-Change Task. 25 participants with HD and 32 healthy controls (HC) were recruited. Participants reported on number of errors committed and pre/post emotional response to errors. Skin conductance response (SCR) during correct and error commission trials was examined. Facial expression during task performance was coded for self-conscious and negative emotions. HD and HC participants had significantly different error rates but comparable error correction and post-error slowing. SCR was significantly lower for HD during error commission than for HC. During error trials, HD participants showed a significant deficit in displays of self-conscious emotions compared to HC. Self-reported emotions were increased in HD, with more negative and self-conscious emotion reported than was reported for HC participants. These findings suggest that hypoactive emotional responding at a physiological level may play a role in how errors are processed in individuals with HD.",Emotions| Error response| Facial emotion| Hoarding disorder| Stop-Change Task,Remaining,0,0
319,20921568,Journal of child neurology,"Inattention, hyperactivity, impulsivity--epidemiology and correlations: a nationwide greek study from birth to 18 years.","We examined the prevalence of inattention, hyperactivity, and impulsivity (attention-deficit hyperactivity disorder [ADHD]-like symptoms) at 7 and 18 years in a Greek birth cohort, and associated factors. Information was derived from a representative sample of 2695 Greek individuals followed-up from birth to18 years through 3 questionnaire surveys (1983, 1990, 2001). At 7 years, the prevalence of hyperactivity was 7%, inattention 9.5%, and impulsivity 7% for all children, while a significant decrease was observed at 18 years. Adverse perinatal factors, poor academic performance, fights or quarrels with peers, comorbidity, and a higher frequency of physical punishment and accidents during childhood were found to be associated with ADHD-like symptoms at 7 years. Factors identified to be related with these symptoms at 18 years included male gender, maternal stress, smoking during pregnancy, physical punishment, and psychological problems in childhood. These longitudinal findings provide significant information for health and educational planning in Greece and other countries.",,Remaining,0,0
320,11157120,"Psychiatric services (Washington, D.C.)",The ICCD benchmarks for clubhouses: a practical approach to quality improvement in psychiatric rehabilitation.,"The study evaluated whether the average performance of clubhouses certified by the International Center for Clubhouse Development (ICCD) should be considered valid benchmarks for clubhouse programs.	A representative sample of clubhouses more than three years old that were based on the Fountain House model participated in a 1998 mail survey. To verify that ICCD certification is a valid indicator of program quality for use in setting benchmark performance rates, 71 certified and 48 noncertified programs were compared on a variety of organizational variables.	Even though certified and noncertified clubhouses were similar in organizational structure and resources, findings from a logistic regression analysis confirmed that certified clubhouses provided a wider array of rehabilitation services and achieved higher rates of employment.	The findings suggest that ICCD certification is a valid indicator of program quality. The ICCD has therefore proposed that the average performance of certified U.S. clubhouses in specific domains be adopted as benchmarks for organizational performance. When tailored for programs in particular regions and with specific levels of funding, the ICCD benchmarks for clubhouse performance set fair and reasonable expectations for clubhouse programs and for the design of performance contracts between departments of mental health and ICCD clubhouses.",,Remaining,0,0
321,37660045,Translational psychiatry,Brain mediators of biased social learning of self-perception in social anxiety disorder.,"Social anxiety disorder (SAD) is characterized by an excessive fear of social evaluation and a persistently negative view of the self. Here we test the hypothesis that negative biases in brain responses and in social learning of self-related information contribute to the negative self-image and low self-esteem characteristic of SAD. Adult participants diagnosed with social anxiety (N = 21) and matched controls (N = 23) rated their performance and received social feedback following a stressful public speaking task. We investigated how positive versus negative social feedback altered self-evaluation and state self-esteem and used functional Magnetic Resonance Imaging (fMRI) to characterize brain responses to positive versus negative feedback. Compared to controls, participants with SAD updated their self-evaluation and state self-esteem significantly more based on negative compared to positive social feedback. Responses in the frontoparietal network correlated with and mirrored these behavioral effects, with greater responses to positive than negative feedback in non-anxious controls but not in participants with SAD. Responses to social feedback in the anterior insula and other areas mediated the effects of negative versus positive feedback on changes in self-evaluation. In non-anxious participants, frontoparietal brain areas may contribute to a positive social learning bias. In SAD, frontoparietal areas are less recruited overall and less attuned to positive feedback, possibly reflecting differences in attention allocation and cognitive regulation. More negatively biased brain responses and social learning could contribute to maintaining a negative self-image in SAD and other internalizing disorders, thereby offering important new targets for interventions.",,Remaining,0,0
