,idx,pmid,journal_name,title,abstract,accepted_label,multi_label,binary_label
525,526,rayyan-1277753396,Am J Psychiatry,"Differential effects of aripiprazole on D(2), 5-HT(2), and 5-HT(1A) receptor occupancy in patients with schizophrenia: a triple tracer PET study","OBJECTIVE: Aripiprazole has a unique pharmacological profile that includes partial agonism at D(2) receptors, antagonism at 5-HT(2) receptors, and partial agonism at 5-HT(1A) receptors. The authors conducted a positron emission tomography (PET) study to characterize the simultaneous effects of aripiprazole at the D(2), 5-HT(2), and 5-HT(1A) receptors in patients with schizophrenia or schizoaffective disorder. METHOD: Twelve patients who had previously received antipsychotic treatment were randomly assigned to receive 10 mg, 15 mg, 20 mg, or 30 mg of aripiprazole. After at least 14 days of treatment, participants underwent high-resolution PET scans using [(11)C]raclopride, [(18)F]setoperone, and [(11)C]WAY100635. RESULTS: Very high occupancy was observed at striatal D(2) receptors (average putamen, 87%; caudate, 93%; and ventral striatum, 91%), lower occupancy at 5-HT(2) receptors (54%-60%), and even lower occupancy at 5-HT(1A) receptors (16%). D(2) occupancy levels were significantly correlated with plasma drug concentrations, and even the lowest dose (10 mg) led to 85% D(2) occupancy. Extrapyramidal side effects were seen only in two of the four participants with occupancies exceeding 90%. CONCLUSIONS: Aripiprazole exhibits a unique occupancy profile as compared with other conventional and atypical antipsychotics. The threshold for response appears to be higher than 60%, extrapyramidal side effects appear to be uncommon even at occupancies that exceed the conventional extrapyramidal side effects threshold of 80%, and 5-HT(2) occupancy is lower than D(2) occupancy. Implications for aripiprazole's mechanism of action are discussed.",Human-RCT-non-intervention,13,0
527,528,rayyan-1277756119,Neurology,Variations in EEG discharges predict ADHD severity within individual Smith-Lemli-Opitz patients,"OBJECTIVE: We sought to examine the prevalence of EEG abnormalities in Smith-Lemli-Opitz syndrome (SLOS) as well as the relationship between interictal epileptiform discharges (IEDs) and within-subject variations in attentional symptom severity. METHODS: In the context of a clinical trial for SLOS, we performed cross-sectional and repeated-measure observational studies of the relationship between EEG findings and cognitive/behavioral factors on 23 children (aged 4-17 years). EEGs were reviewed for clinical abnormalities, including IEDs, by readers blinded to participants' behavioral symptoms. Between-group differences in baseline characteristics of participants with and without IEDs were analyzed. Within-subject analyses examined the association between the presence of IEDs and changes in attention-deficit/hyperactivity disorder (ADHD) symptoms. RESULTS: Of 85 EEGs, 43 (51%) were abnormal, predominantly because of IEDs. Only one subject had documented clinical seizures. IEDs clustered in 13 subjects (57%), whereas 9 subjects (39%) had EEGs consistently free of IEDs. While there were no significant group differences in sex, age, intellectual disability, language level, or baseline ADHD symptoms, autistic symptoms tended to be more prevalent in the ""IED"" group (according to Autism Diagnostic Observation Schedule-2 criteria). Within individuals, the presence of IEDs on a particular EEG predicted, on average, a 27% increase in ADHD symptom severity. CONCLUSIONS: Epileptiform discharges are common in SLOS, despite a relatively low prevalence of epilepsy. Fluctuations in the presence of epileptiform discharges within individual children with a developmental disability syndrome may be associated with fluctuations in ADHD symptomatology, even in the absence of clinical seizures.",Human-RCT-non-intervention,13,0
529,530,rayyan-1277755883,J Clin Neurosci,"Validation of the Chinese version of the NUCOG cognitive screening tool in patients with epilepsy, dementia and other neurological disorders","We aimed to develop and validate a Chinese version of the Neuropsychiatry Unit Cognitive Assessment Tool (NUCOG) for use in Chinese-speaking subjects internationally. Patients and healthy controls were recruited from two hospitals between July and October 2012. Receiver operating characteristic (ROC) curves were utilized to test criterion validity. Convergent validity was assessed via correlations between NUCOG and the Mini-Mental State Examination (MMSE). Reliability was measured by internal consistency (Cronbach's α). Patients with epilepsy (n=144), neurological diseases (n=81), dementia (n=44), and controls (n=260) completed the NUCOG and the MMSE. Overall, both NUCOG and MMSE scores differed significantly across the four groups with the highest scores in the control group and the lowest in the dementia group (p<0.0001). The NUCOG scores could differentiate between patients with certain seizure types, stroke and transient ischemic attack. Compared to the MMSE, the NUCOG exhibited a higher area under the ROC curve. The convergent validity was substantially correlated, and internal consistency was very high (0.922). The Chinese version of NUCOG was demonstrated to be a sensitive and reliable screening tool for cognitive impairment in a Chinese-speaking population not only in China, but also in countries where there is a sizeable population of ethnic Chinese. Additionally, our study also showed the NUCOG could better differentiate cognitive function in patients with certain seizure types, stroke and transient ischemic attack than the MMSE. This potentially expands the clinical usefulness of NUCOG, enabling clinicians to measure the cognitive profile of patients with epilepsy and ischemic cerebrovascular diseases.",Human-RCT-non-intervention,13,0
531,532,rayyan-1277759861,Eur Child Adolesc Psychiatry,The impact of school-based screening on service use in adolescents at risk for mental health problems and risk-behaviour,"Early detection and intervention can counteract mental disorders and risk behaviours among adolescents. However, help-seeking rates are low. School-based screenings are a promising tool to detect adolescents at risk for mental problems and to improve help-seeking behaviour. We assessed associations between the intervention ""Screening by Professionals"" (ProfScreen) and the use of mental health services and at-risk state at 12 month follow-up compared to a control group. School students (aged 15 ± 0.9 years) from 11 European countries participating in the ""Saving and Empowering Young Lives in Europe"" (SEYLE) study completed a self-report questionnaire on mental health problems and risk behaviours. ProfScreen students considered ""at-risk"" for mental illness or risk behaviour based on the screening were invited for a clinical interview with a mental health professional and, if necessary, referred for subsequent treatment. At follow-up, students completed another self-report, additionally reporting on service use. Of the total sample (N = 4,172), 61.9% were considered at-risk. 40.7% of the ProfScreen at-risk participants invited for the clinical interview attended the interview, and 10.1% of subsequently referred ProfScreen participants engaged in professional treatment. There were no differences between the ProfScreen and control group regarding follow-up service use and at-risk state. Attending the ProfScreen interview was positively associated with follow-up service use (OR = 1.783, 95% CI = 1.038-3.064), but had no effect on follow-up at-risk state. Service use rates of professional care as well as of the ProfScreen intervention itself were low. Future school-based interventions targeting help-seeking need to address barriers to intervention adherence.Clinical Trials Registration: The trial is registered at the US National Institute of Health (NIH) clinical trial registry (NCT00906620, registered on 21 May, 2009), and the German Clinical Trials Register (DRKS00000214, registered on 27 October, 2009).",Human-RCT-non-intervention,13,0
532,533,rayyan-1277752886,Dement Geriatr Cogn Disord,Validating the DemTect with 18-fluoro-2-deoxy-glucose positron emission tomography as a sensitive neuropsychological screening test for early alzheimer disease in patients of a memory clinic,"OBJECTIVES: The first study to validate the diagnostic value of the DemTect, a short neuropsychological screening test for dementia (8-10 min), using 18-fluoro-2-deoxy-glucose positron emission tomography (FDG-PET) in patients of a memory clinic. METHODS: DemTect results were compared to the clinical diagnosis and to FDG-PET as a reference method for the early in vivo detection of Alzheimer's disease (AD). RESULTS: 38 patients (age 65.2 +/- 9.8 years, 16 men, 22 women) were investigated using clinical standard examination, FDG-PET, and cranial magnetic resonance imaging. According to NINCDS-ADRDA and Petersen's criteria, 18 patients had dementia of the Alzheimer type (DAT) and 13 patients received the diagnosis of mild cognitive impairment (MCI). Compared to the clinical diagnosis, a DemTect cutoff score of < or =11 points demonstrated good sensitivity (83.3%) and specificity (70.0%) for the detection of DAT, whereas the best cutoff score for MCI was < or =13 points with comparable sensitivity (84.6%) and specificity (85.7%). With regard to FDG-PET, the DemTect demonstrated excellent sensitivity (93%) and low specificity (50%) for the detection of AD-typical patterns of cerebral glucose metabolism (cutoff < or =13 points). CONCLUSION: DemTect is a favorable neuropsychological screening instrument for detecting cognitive dysfunction even in predementia stages of AD. For definite cross-sectional diagnosis, further diagnostic evaluation with higher specificity, e.g. comprehensive neuropsychological examination, FDG-PET or other biomarkers, is necessary.",Human-RCT-non-intervention,13,0
533,534,rayyan-1277756056,J Clin Epidemiol,The Quick Mild Cognitive Impairment screen correlated with the Standardized Alzheimer's Disease Assessment Scale-cognitive section in clinical trials,"OBJECTIVES: The Alzheimer's Disease Assessment Scale-cognitive section and its standardized version (SADAS-cog) are the current standard for assessing cognitive outcomes in clinical trials of dementia. This study compares a shorter cognitive instrument, the Quick Mild Cognitive Impairment (Qmci) screen, with the SADAS-cog as outcome measures in clinical trials. STUDY DESIGN AND SETTING: The SADAS-cog, Qmci, Clinical Dementia Rating (CDR) scale, and the Lawton-Brady activities of daily living (ADL) scale were assessed at multiple time points, over 1 year in a multicenter randomized clinical trial of 406 patients with mild to moderate Alzheimer's dementia. Correlations were estimated using regression at each time point, all time points, and mean values across time. Responsiveness was assessed using the standardized response mean (SRM). RESULTS: Regression for pooled time points showed strong and significant correlation between the SADAS-cog and Qmci (r = -0.75, P < 0.001). Correlations remained strong for mean values across time and at each time point. The SADAS-cog and Qmci also correlated with CDR and ADL scores. There was no difference in SRMs between the SADAS-cog and Qmci [t(357) = -0.32, P = 0.75]. CONCLUSION: The Qmci correlated strongly with the SADAS-cog and both were equally responsive to deterioration. We suggest that clinicians and investigators can substitute the shorter Qmci for the SADAS-cog.",Human-RCT-non-intervention,13,0
756,223,rayyan-1277759870,Psychiatry Res,Exercise as an add-on treatment in individuals with schizophrenia: Results from a large multicenter randomized controlled trial,"Current treatment methods do not achieve recovery for most individuals with schizophrenia, and symptoms such as negative symptoms and cognitive deficits often persist. Aerobic endurance training has been suggested as a potential add-on treatment targeting both physical and mental health. We performed a large-scale multicenter, rater-blind, parallel-group randomized controlled clinical trial in individuals with stable schizophrenia. Participants underwent a professionally supervised six-month training comprising either aerobic endurance training (AET) or flexibility, strengthening, and balance training (FSBT, control group), follow-up was another six months. The primary endpoint was all-cause discontinuation (ACD); secondary endpoints included effects on psychopathology, cognition, functioning, and cardiovascular risk. In total, 180 participants were randomized. AET was not superior to FSBT in ACD and most secondary outcomes, with dropout rates of 59.55% and 57.14% in the six-month active phase, respectively. However, both groups showed significant improvements in positive, general, and total symptoms, levels of functioning and in cognitive performance. A higher training frequency additionally promoted further memory domains. Participants with higher baseline cognitive abilities were more likely to respond to the interventions. Our results support integrating exercise into schizophrenia treatment, while future studies should aim to develop personalized training recommendations to maximize exercise-induced benefits.",Human-RCT-non-drug-intervention,9,0
758,225,rayyan-1277760035,Neurorehabil Neural Repair,Neuroplastic Changes Associated With Hybrid Exercise-Cognitive Training in Stroke Survivors With Mild Cognitive Decline: A Randomized Controlled Trial,"BACKGROUND: Exercise and cognitive training have been shown to induce neuroplastic changes and modulate cognitive function following stroke. However, it remains unclear whether hybridized exercise-cognitive training facilitates cortical activity and further influences cognitive function after stroke. OBJECTIVE: The study aimed to investigate the effects of 2 hybridized exercise-cognitive trainings on neuroplastic changes and behavioral outcomes in stroke survivors with mild cognitive decline. METHODS: This study was a single-blind randomized controlled trial. Stroke survivors were randomly assigned to 1 of 3 groups: (1) sequential exercise-cognitive training (SEQ), (2) dual-task exercise-cognitive training (DUAL), or (3) control group (CON). All groups underwent training 60 min per day, 3 days per week, for a total of 12 weeks. The primary outcome was the resting-state (RS) functional connectivity (FC) in functional magnetic resonance imaging. Secondary behavioral outcomes included cognitive and physical functions. RESULTS: After 12 weeks of training, patients in the SEQ group (n = 21) exhibited increased RS FC between the left occipital lobe and posterior cingulate gyrus with right parietal lobe, compared to the DUAL (n = 22) and CON (n = 20) groups. Additionally, patients in the DUAL group showed increased FC of the left temporal lobe. However, changes in behavioral outcome measures were non-significant among the 3 groups (all P's > .05). CONCLUSIONS: This study highlights the distinct neuroplastic mechanisms associated with 2 types of exercise-cognitive hybridized trainings. The pre-post functional magnetic resonance imaging measurements illustrated the time course of neural mechanisms for cognitive recovery in stroke survivors following different exercise-cognitive training approaches. Trial registration. NCT03230253.",Human-RCT-non-drug-intervention,9,0
759,226,rayyan-1277755988,J Head Trauma Rehabil,Effects of repeated anodal tDCS coupled with cognitive training for patients with severe traumatic brain injury: a pilot randomized controlled trial,"OBJECTIVE: To determine whether cumulative anodal transcranial direct current stimulation (A-tDCS) of the left dorsolateral prefrontal cortex (DLPFC) could enhance rehabilitation of memory and attention in patients with traumatic brain injury (TBI). SETTING: Inpatient and outpatient neurorehabilitation unit. PARTICIPANTS: Twenty-three adult patients, 4- to 92- months post severe TBI. DESIGN: Participants were randomly allocated to 2 groups. The experimental group received A-tDCS (10 minutes; 1 mA; in the DLPFC), followed by rehabilitative cognitive training, daily for 15 days. Controls received A-tDCS for 25 seconds (sham condition) with the same rehabilitation. MAIN MEASURES: Battery of memory and attention tests, which included visual and auditory modalities. Participants were tested twice before beginning rehabilitation (to control for spontaneous recovery), after rehabilitation completion, and 4 months later. RESULTS: Tests scores in both groups were similar at 3 weeks before and immediately before treatment. After treatment, the experimental group exhibited larger effect sizes in 6 of 8 cognitive outcome measures, but they were not significantly different from controls. At follow-up, differences remained insignificant. CONCLUSION: In contrast to previous studies, our study did not provide sufficient evidence to support the efficacy of repeated A-tDCS for enhancing rehabilitation of memory and attention in patients after severe TBI.",Human-RCT-non-drug-intervention,9,0
761,228,rayyan-1277757255,J Alzheimers Dis,"Multimodal Cognitive Enhancement Therapy for Patients with Mild Cognitive Impairment and Mild Dementia: A Multi- Center, Randomized, Controlled, Double-Blind, Crossover Trial","We developed and evaluated the effect of Multimodal Cognitive Enhancement Therapy (MCET) consisting of cognitive training, cognitive stimulations, reality orientation, physical therapy, reminiscence therapy, and music therapy in combination in older people with mild cognitive impairment (MCI) or mild dementia. This study was a multi-center, double-blind, randomized, placebo-controlled, two-period cross-over study (two 8-week treatment phases separated by a 4-week wash-out period). Sixty-four participants with MCI or dementia whose Clinical Dementia Rating was 0.5 or 1 were randomized to the MCET group or the mock-therapy (placebo) group. Outcomes were measured at baseline, week 9, and week 21. Fifty-five patients completed the study. Mini-Mental State Examination (effect size = 0.47, p = 0.013) and Alzheimer's Disease Assessment Scale-Cognitive Subscale (effect size = 0.35, p = 0.045) scores were significantly improved in the MCET compared with mock-therapy group. Revised Memory and Behavior Problems Checklist frequency (effect size = 0.38, p = 0.046) and self-rated Quality of Life - Alzheimer's Disease (effect size = 0.39, p = 0.047) scores were significantly improved in the MCET compared with mock-therapy. MCET improved cognition, behavior, and quality of life in people with MCI or mild dementia more effectively than conventional cognitive enhancing activities did.",Human-RCT-non-drug-intervention,9,0
763,230,rayyan-1277750255,Arch Gen Psychiatry,A comparative trial of home and hospital psychiatric care. One-year follow-up,"The effectiveness of community-based treatment stressing home care was compared with hospital-based psychiatric care. One hundred and fifty-five patients destined for inpatient psychiatric care were randomly assigned to Home Care (76 patients) and to Hospital Care (79 patients). Symptoms, role functioning, and psychosocial burden on the family were similar at admission, one month, three months, six months, and one year. The mean in-hospital stay of Hospital Care patients was 41.7 days compared with a mean stay of 14.5 days for Home Care patients. The difference in the amount of ambulatory care received by patients in the two groups was not significant. The evidence is consistent: community-based psychiatric care is an effective alternative to hospital-based care for many but not all severely disabled patients. The active ingredients of successful community treatment are known, yet the lag in implementing these programs persists.",Human-RCT-non-drug-intervention,9,0
765,232,rayyan-1277753889,Aging Ment Health,Exercise training for depressed older adults with Alzheimer's disease,"The purpose of this study was to compare the effects of 16 weeks of a comprehensive exercise routine to supervised walking and social conversation on depression in nursing home residents with Alzheimer's disease (AD). METHOD: This study was a three-group, repeated-measures design with random assignment to treatment group. Forty-five nursing home residents with moderate to severe AD were randomly assigned to a 16-week programme of comprehensive exercise, supervised walking or social conversation. Raters were blinded to treatment group assignment. Major outcome variables were depression measured by the Cornell Scale for Depression in Dementia, mood measured by the Dementia Mood Assessment Scale and the Alzheimer's Mood Scale, and affect measured by the Observed Affect Scale. Depression was reduced in all three groups with some evidence of superior benefit from exercise. Depression is a common problem with serious and costly consequences for nursing home residents with AD. Exercise as a behavioural approach to treatment of depression in nursing home residents with severe AD evidenced a clear benefit to participants in this study. More research is needed to clarify the relative benefits of different types of exercise in conjunction with or without pharmacological intervention.",Human-RCT-non-drug-intervention,9,0
766,233,rayyan-1277756074,Parkinsonism Relat Disord,Effects of cognitive training in Parkinson's disease: a randomized controlled trial,"BACKGROUND: In Parkinson's Disease (PD), cognitive dysfunctions which can reduce patients' quality of life occur frequently. Data on non-pharmacological intervention effects on cognitive functions in patients with PD are rare. The aim of this study was to examine the effects of different cognitive group trainings (structured vs. unstructured) on cognition, depression, and quality of life in non-demented PD patients. METHODS: In this randomized controlled trial, 65 non-demented patients with PD according to UK Brain Bank criteria (Hoehn & Yahr I-III) were allocated to one of two cognitive multi-component treatments (""NEUROvitalis"", a structured training, or the unstructured training ""Mentally fit"" with randomly assembled cognitive tasks, each including 12 group-sessions à 90 min over 6 weeks) or a waiting list control group (CG). A neuropsychological test battery was performed before and after the training. RESULTS: Compared to the CG, patients from the ""NEUROvitalis"" group improved in short-term memory (word list learning ""Memo"": p < .01) and working memory (digit span reverse from ""DemTect"": p < .05), whereas depression scores where reduced in the ""Mentally fit"" group (Beck Depression Inventory-II: p < .05). The ""NEUROvitalis"" group improved significantly more in working memory than the ""Mentally fit"" group (DemTect: p < .05). DISCUSSION: Cognitive and affective functions can be improved by cognitive trainings in PD patients. Specific effects (e.g. on memory and working memory versus depression) seem to be dependent on the type of training. Further research is needed to define long-term effects and the efficacy in PD patients with different extent of cognitive and neuropsychiatric symptoms.",Human-RCT-non-drug-intervention,9,0
771,238,rayyan-1277755769,Int J Soc Psychiatry,Effects of the two-way communication checklist (2-COM): a one-year cluster randomized study in a group of severely mentally ill persons,"BACKGROUND: In a health-care service with the emphasis on improvement related to functioning and well-being, the communication process between patient and professionals is essential. There is a lack of research on this matter. AIM: The aim was to investigate, in a group of severely mentally ill persons, whether the use of a simple communication tool could influence the sense of empowerment, satisfaction with care, therapeutic alliance and unmet needs. METHOD: The study had a cluster randomized design. The intervention was a communication tool (2-COM) applied in two teams during one year. In a comparison group of two other teams, the treatment was as usual. At baseline, after six months, and after one year, assessments were made. RESULTS: After one year the 2-COM groups seemed to have a larger reduction in unmet needs compared to the treatment-as-usual group. However, there were large problems with attrition in the study, and it was not possible to draw relevant conclusions. CONCLUSIONS: The methodological problems were substantial, and the study may be considered as a pilot study. In a main study the researchers ought to take control over the selection of patients on the basis of the experiences from this study.",Human-RCT-non-drug-intervention,9,0
772,239,rayyan-1277751709,Gerontologist,Reducing caregiver burden: a randomized psychoeducational intervention for caregivers of persons with dementia,"This 3-year randomized clinical trial tested the effectiveness of an interdisciplinary psychoeducational family group intervention in decreasing the caregivers' perceptions of the frequency and severity of behavioral problems in persons with dementia and their reactions to those problems, and in decreasing caregiver burden and depression. The intervention consisted of seven weekly, 2-hour multimedia training sessions that included education, family support, and skills training for 94 primary caregivers and their families. Repeated measures ANOVA was used to test for significant differences between the intervention and waiting list control groups over a 5-month period. The intervention was successful in reducing caregivers' negative reactions to disruptive behaviors and in reducing caregiver burden over time.",Human-RCT-non-drug-intervention,9,0
774,241,rayyan-1277750772,Biol Psychiatry,Controlled trial of bright light for nonseasonal major depressive disorders,"Psychotropic drug-free hospitalized veterans with nonseasonal major depressive disorders or depressed forms of bipolar disorder were treated with light for 1 week. Twenty-five patients were randomly assigned to bright white light treatment (2000-3000 lux), and 26 patients were randomized to dim red light placebo control treatment. Unlike those treated with dim red light, those treated with bright white light showed declines in three measures of depression during treatment. Partial relapse appeared within 2 days. A global depression score showed a statistically significant (p = 0.02) difference favoring bright white light treatment. Two bright-light-treated patients became mildly hypomanic, but side effects were mild. Improvement was not correlated with patient expectations; indeed, patients expected somewhat greater benefit from the placebo. Patients treated in summer responded as well as those treated in winter. Baseline electroencephalogram (EEG) sleep stage data (e.g., rapid eye movement; REM latency) did not predict treatment responses. These 1-week treatment results suggest that bright light might produce benefits for patients with nonseasonal depression. Bright light should not be recommended for routine clinical application before additional assessments with longer treatment durations are done.",Human-RCT-non-drug-intervention,9,0
775,242,rayyan-1277753892,Pediatrics,Improving child and parent mental health in primary care: a cluster-randomized trial of communication skills training,"OBJECTIVE: We examined child and parent outcomes of training providers to engage families efficiently and to reduce common symptoms of a range of mental health problems and disorders. METHODS: Training involved three 1-hour discussions structured around video examples of family/provider communication skills, each followed by practice with standardized patients and self-evaluation. Skills targeted eliciting parent and child concerns, partnering with families, and increasing expectations that treatment would be helpful. We tested the training with providers at 13 sites in rural New York, urban Maryland, and Washington, DC. Children (5-16 years of age) making routine visits were enrolled if they screened ""possible"" or ""probable"" for mental disorders with the Strengths and Difficulties Questionnaire or if their provider said they were likely to have an emotional or behavioral problem. Children and their parents were then monitored for 6 months, to assess changes in parent-rated symptoms and impairment and parent symptoms. RESULTS: Fifty-eight providers (31 trained and 27 control) and 418 children (248 patients of trained providers and 170 patients of control providers) participated. Among the children, 72% were in the possible or probable categories. Approximately one half (54%) were white, 30% black, 12% Latino, and 4% other ethnicities. Eighty-eight percent (367 children) completed follow-up monitoring. At 6 months, minority children cared for by trained providers had greater reduction in impairment (-0.91 points) than did those cared for by control providers but no greater reduction in symptoms. Seeing a trained provider did not have an impact on symptoms or impairment among white children. Parents of children cared for by trained providers experienced greater reduction in symptoms (-1.7 points) than did those cared for by control providers. CONCLUSION: Brief provider communication training had a positive impact on parent mental health symptoms and reduced minority children's impairment across a range of problems.",Human-RCT-non-drug-intervention,9,0
776,243,rayyan-1277758490,Arch Phys Med Rehabil,"Cognitive Behavioral Treatment for Acute Posttrauma Distress: A Randomized, Controlled Proof-of-Concept Study Among Hospitalized Adults With Burns","OBJECTIVE: (1) To evaluate the feasibility of conducting a randomized controlled trial (RCT) of the Safety, Meaning, Activation and Resilience Training (SMART) intervention vs nondirective supportive psychotherapy (NDSP) in an acutely hospitalized adult survivor of burn injury sample; and (2) to assess the preliminary effect of SMART on acute stress disorder (ASD), posttraumatic stress disorder (PTSD), and major depressive disorder (MDD) symptom reduction as secondary prevention. DESIGN: Proof-of-concept, parallel group RCT design. SETTING: Regional burn center. PARTICIPANTS: Acutely injured, hospitalized adult survivors of burn injury (N=50) were randomly assigned to SMART (n=28) or nondirective supportive psychotherapy (n=22). Due to dropout and missing data, final sample size was 40, SMART (n=21) and nondirective supportive psychotherapy (n=19). INTERVENTIONS: SMART is a manualized, 4-session cognitive behavioral therapy-based psychological intervention targeting ASD, PTSD, and MDD symptoms. NDSP is a manualized, 4-session protocol. MAIN OUTCOME MEASURES: Davidson Trauma Scale ([DTS]; diagnostic proxy for ASD and PTSD; clinical cutoff=40, with higher score=higher severity) and the Patient Health Questionnaire-9 ([PHQ-9]; diagnostic proxy for MDD; clinical cutoff=10, with higher score=higher severity) at pretreatment, immediate posttreatment, and 1 month posttreatment. RESULTS: At baseline, median DTS scores and PHQ-9 scores were above clinical cutoffs and did not differ across groups. At 1 week and 1 month posttreatment, median DTS and PHQ-9 scores were beneath clinical cutoffs in the SMART group; scores remained above clinical cutoffs in the NDSP group at these time points. CONCLUSIONS: It is feasible to conduct an RCT of SMART in hospitalized adult survivors of burn injury. SMART has the potential to yield clinically significant outcomes. Additional studies are needed to replicate and extend these findings.",Human-RCT-non-drug-intervention,9,0
778,245,rayyan-1277750259,Dev Med Child Neurol,A longitudinal study of very low-birthweight infants. II: Results of controlled trial of intensive care and incidence of handicaps,"Between 1966 and 1970, infants with birthweights between 1000 and 1500g entered a randomized controlled trial to determine the short-term and long-term results of neonatal intensive care. Of 158 long-term survivors, five were lost to follow-up, but the multidisciplinary research team prospectively followed 143 children up to the age of eight years. Useful data were available for the other 10 children. Of the long-term survivors 74 had received routine, and 84 had received intensive nursery care. At eight years of age there were no statistically significant differences in the frequencies of a variety of individual abnormalities; fewer of the intensively managed children had cerebral palsy, but sensorineural deafness and ocular abnormalities occurred more frequently. Individual children were graded into four carefully defined groups: (a) profound handicap (4.4 per cent of entire study group); (b) severe handicap (10.1 per cent); (c) significant handicap (37.3 per cent); and (d) trivial or no handicap (41.8 per cent). Inadequate data were available for 6.3 per cent of the children. It was apparent that the improved survival attributed to intensive neonatal care was achieved at the expense of additional severely handicapped children, and this feature is discussed.",Human-RCT-non-drug-intervention,9,0
779,246,rayyan-1277758179,Seizure,Mindfulness-based cognitive therapy for sexuality (MBCT-S) improves sexual functioning and intimacy among older women with epilepsy: A multicenter randomized controlled trial,"PURPOSE: Women with epilepsy (WWE) frequently experience sexual problems, including sexual dysfunction and sexual distress. Therefore, this study aimed to examine the efficacy of a mindfulness-based cognitive therapy for sexuality (MBCT-S) on sexual function and intimacy among older adult WWE in Iran. METHODS: A multicenter randomized controlled trial was conducted at 15 neurology clinics in three Iranian cities. WWE together with their partners and healthcare providers were randomly assigned in patient and partner (PP; n = 220), patient, partner, and healthcare provider (PPHP; n = 220), or treatment as usual (TAU; n = 220) group. WWE and their partners in both the PP and PPHP groups received eight weeks of MBCT-S sessions. In the PPHP group, three individual sessions on sexual counseling were added for healthcare providers. Self-assessment scales were used at baseline, one month and six months after completing the intervention. Mixed linear regression models were developed to determine differences among the three groups. Multilevel mediation analyses were conducted to understand the mediating effects of mindfulness, intimacy, patient-physicians relationship and sexual counseling barriers. RESULTS: Improvements in sexual function, sexual distress, and intimacy were found in both the PP and PPHP groups at one-month and six-month follow-ups. The PPHP group compared with the PP group had greater improvement in intimacy at both follow-ups. Regarding sexual function, the PPHP group performed better than the PP group at the six-month follow-up. CONCLUSIONS: The MBCT-S appears efficacious in enhancing sexual function and reducing sex-related distress in Iranian older adult WWE. Future studies should examine its efficacy in other populations.",Human-RCT-non-drug-intervention,9,0
780,247,rayyan-1277755951,J Clin Psychiatry,The effect of electroconvulsive therapy on neurocognitive function in treatment-resistant bipolar disorder depression,"OBJECTIVE: To compare the effects of right unilateral (RUL) electroconvulsive therapy (ECT) and algorithm-based pharmacologic treatment (APT) on neurocognitive function in treatment-resistant bipolar disorder depression. METHOD: Inpatients with DSM-IV-TR-diagnosed, treatment-resistant bipolar depression, who were acutely admitted to 1 of the 7 clinical study centers in Norway, were recruited from May 2008 to April 2011 into a prospective, randomized controlled, 6-week acute treatment trial. General neurocognitive function was assessed with the MATRICS Consensus Cognitive Battery (MCCB), and retrograde memory for autobiographical events was assessed with the Autobiographical Memory Interview-Short Form (AMI-SF) before and shortly after (mean = 23.5 days) a trial with either RUL brief-pulse ECT (mean dose = 233.3 mC) or APT. RESULTS: Seventy-three patients entered, and 39 (nECT = 19, nAPT = 20) completed. Both groups showed improvements in all MCCB domain scores, with no significant differences between the study groups (no interaction effect: F₁,₃₇ = 1.52, P = NS). Improvements in neurocognitive performance were significantly correlated with reductions in depression ratings posttreatment. The AMI-SF score was significantly lower (based on consistent answers from pre- to posttreatment) in the ECT group (72.9%) than in the APT group (80.8%, P = .025), indicating reduced consistency in autobiographical memory after ECT. CONCLUSIONS: General neurocognitive function was unaffected by RUL brief-pulse ECT treatment and positively related to improved mood in bipolar depression. Autobiographical memory consistency was reduced in patients treated with ECT. The results suggest that ECT can be used in treatment-resistant bipolar depression without compromising general neurocognitive function. The clinical relevance of reduced autobiographical memory consistency in the ECT group requires further investigation. TRIAL REGISTRATION: ClinicalTrials.gov identifier: NCT00664976.",Human-RCT-non-drug-intervention,9,0
